Source,Target
hCoV-19/Canada/QC-LSPQ-L00215817/2020|EPI_ISL_535739|2020-03-12,hCoV-19/Canada/Qc-L00241355/2020|EPI_ISL_450318|2020-03-27
1369,hCoV-19/Canada/QC-LSPQ-L00238226/2020|EPI_ISL_536205|2020-03-24
hCoV-19/Canada/ON_MU-S63/2020|EPI_ISL_463991|2020-03-19,hCoV-19/Canada/LTRI-25/2020|EPI_ISL_495013|2020-03-26
1003,hCoV-19/Canada/ON-UHTC_0075/2020|EPI_ISL_463999|2020-04-11
hCoV-19/Canada/ON-UHTC_0075/2020|EPI_ISL_463999|2020-04-11,hCoV-19/Canada/ON-UHTC_0104/2020|EPI_ISL_526259|2020-05-11
hCoV-19/Canada/ON_QGLO-037/2020|EPI_ISL_459888|2020-03-30,hCoV-19/Canada/ON_MU-S63/2020|EPI_ISL_463991|2020-03-19
1140,hCoV-19/Canada/ON-OICR-SLB2811/2020|EPI_ISL_538339|2020-03-31
1157,hCoV-19/Canada/ON-OICR-SLB2851/2020|EPI_ISL_538370|2020-04-05
1235,hCoV-19/Canada/ON-OICR-SLB2863/2020|EPI_ISL_538380|2020-04-08
1397,hCoV-19/Canada/ON-OICR-SLB2842/2020|EPI_ISL_538363|2020-04-04
972,hCoV-19/Canada/ON-OICR-SLB2857/2020|EPI_ISL_538376|2020-04-07
1076,hCoV-19/Canada/QC_AV5/2020|EPI_ISL_515231|2020-04-02
hCoV-19/Canada/Qc-L00240857/2020|EPI_ISL_450306|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00238819/2020|EPI_ISL_536223|2020-03-26
1187,hCoV-19/Canada/Qc-L00240857/2020|EPI_ISL_450306|2020-03-27
hCoV-19/Canada/ON_QGLO-037/2020|EPI_ISL_459888|2020-03-30,hCoV-19/Canada/ON-OICR-SLB2829/2020|EPI_ISL_538355|2020-04-03
982,hCoV-19/Canada/ON-OICR-SLB2849/2020|EPI_ISL_538369|2020-04-05
986,hCoV-19/Canada/ON-OICR-SLB2860/2020|EPI_ISL_538379|2020-04-07
1369,hCoV-19/Canada/ON_QGLO-037/2020|EPI_ISL_459888|2020-03-30
1056,hCoV-19/Canada/ON_QGLO-038/2020|EPI_ISL_459889|2020-03-30
hCoV-19/Canada/ON-OICR-SLB2835/2020|EPI_ISL_538359|2020-04-03,hCoV-19/Canada/ON-OICR-SLB2814/2020|EPI_ISL_538342|2020-04-01
hCoV-19/Canada/ON-OICR-SLB2814/2020|EPI_ISL_538342|2020-04-01,hCoV-19/Canada/ON-OICR-SLB2848/2020|EPI_ISL_538368|2020-04-04
hCoV-19/Canada/ON-OICR-SLB2814/2020|EPI_ISL_538342|2020-04-01,hCoV-19/Canada/ON-OICR-SLB2853/2020|EPI_ISL_538372|2020-04-07
981,hCoV-19/Canada/ON-OICR-SLB2859/2020|EPI_ISL_538378|2020-04-07
hCoV-19/Canada/ON-OICR-SLB2835/2020|EPI_ISL_538359|2020-04-03,hCoV-19/Canada/ON-OICR-SLB2815/2020|EPI_ISL_538343|2020-04-01
hCoV-19/Canada/ON-OICR-SLB2815/2020|EPI_ISL_538343|2020-04-01,hCoV-19/Canada/ON-OICR-SLB2864/2020|EPI_ISL_538381|2020-04-09
1138,hCoV-19/Canada/ON-OICR-SLB2835/2020|EPI_ISL_538359|2020-04-03
hCoV-19/Canada/ON_QGLO-042/2020|EPI_ISL_459892|2020-03-30,hCoV-19/Canada/ON-OICR-SLB2830/2020|EPI_ISL_538356|2020-04-03
1086,hCoV-19/Canada/ON_QGLO-042/2020|EPI_ISL_459892|2020-03-30
hCoV-19/Canada/ON-OICR-SLB2847/2020|EPI_ISL_538367|2020-04-04,hCoV-19/Canada/ON-OICR-SLB2843/2020|EPI_ISL_538364|2020-04-04
1011,hCoV-19/Canada/ON-OICR-SLB2847/2020|EPI_ISL_538367|2020-04-04
1252,hCoV-19/Canada/QC-LSPQ-L00236258/2020|EPI_ISL_536122|2020-03-24
1119,hCoV-19/Canada/QC-LSPQ-L00238978/2020|EPI_ISL_536229|2020-03-26
1025,hCoV-19/Canada/QC-LSPQ-L00243257/2020|EPI_ISL_536352|2020-03-30
1349,hCoV-19/Canada/QC-LSPQ-L00221605/2020|EPI_ISL_535809|2020-03-16
hCoV-19/Canada/QC-LSPQ-L00221605/2020|EPI_ISL_535809|2020-03-16,hCoV-19/Canada/QC-LSPQ-L00227147/2020|EPI_ISL_535858|2020-03-18
hCoV-19/Canada/QC-LSPQ-L00227147/2020|EPI_ISL_535858|2020-03-18,hCoV-19/Canada/QC-LSPQ-L00239209/2020|EPI_ISL_536238|2020-03-21
hCoV-19/Canada/QC-LSPQ-L00239209/2020|EPI_ISL_536238|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00239235/2020|EPI_ISL_536239|2020-03-21
hCoV-19/Canada/QC-LSPQ-L00230444/2020|EPI_ISL_535917|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00227528/2020|EPI_ISL_535864|2020-03-19
1380,hCoV-19/Canada/QC-LSPQ-L00230444/2020|EPI_ISL_535917|2020-03-21
1372,hCoV-19/Canada/BC_5275718/2020|EPI_ISL_418831|2020-03-11
hCoV-19/Canada/BC_5275718/2020|EPI_ISL_418831|2020-03-11,hCoV-19/Canada/BC_5979789/2020|EPI_ISL_418835|2020-03-11
1364,hCoV-19/Canada/QC-LSPQ-L00215879/2020|EPI_ISL_535741|2020-03-12
1251,hCoV-19/Canada/NL_82/2020|EPI_ISL_469224|2020-03-22
hCoV-19/Canada/NL_82/2020|EPI_ISL_469224|2020-03-22,hCoV-19/Canada/NL_83/2020|EPI_ISL_469225|2020-03-21
hCoV-19/Canada/NL_82/2020|EPI_ISL_469224|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00231139/2020|EPI_ISL_535944|2020-03-22
hCoV-19/Canada/NL_82/2020|EPI_ISL_469224|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00228862/2020|EPI_ISL_535879|2020-03-20
1265,hCoV-19/Canada/QC-LSPQ-L00217411/2020|EPI_ISL_535761|2020-03-13
1326,hCoV-19/Canada/BC_5306970/2020|EPI_ISL_418833|2020-03-11
hCoV-19/Canada/NB-217/2020|EPI_ISL_479633|2020-03-30,hCoV-19/Canada/NB-213/2020|EPI_ISL_479629|2020-03-30
hCoV-19/Canada/NB_252/2020|EPI_ISL_481749|2020-04-01,hCoV-19/Canada/NB-217/2020|EPI_ISL_479633|2020-03-30
hCoV-19/Canada/NB_252/2020|EPI_ISL_481749|2020-04-01,hCoV-19/Canada/NB_250/2020|EPI_ISL_481748|2020-04-02
1095,hCoV-19/Canada/NB_252/2020|EPI_ISL_481749|2020-04-01
hCoV-19/Canada/ON-OICR-SLB2856/2020|EPI_ISL_538375|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2852/2020|EPI_ISL_538371|2020-04-07
hCoV-19/Canada/ON-OICR-SLB2852/2020|EPI_ISL_538371|2020-04-07,hCoV-19/Canada/ON-UHTC_0068/2020|EPI_ISL_464008|2020-04-28
1095,hCoV-19/Canada/ON-OICR-SLB2856/2020|EPI_ISL_538375|2020-04-07
1075,hCoV-19/Canada/QC-LSPQ-L00234776/2020|EPI_ISL_536069|2020-03-23
hCoV-19/Canada/ON-OICR-SLB2856/2020|EPI_ISL_538375|2020-04-07,hCoV-19/Canada/QC-LSPQ-L00234851/2020|EPI_ISL_536071|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00233567/2020|EPI_ISL_536028|2020-03-23,hCoV-19/Canada/ON_QGLO-018/2020|EPI_ISL_459875|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00220289/2020|EPI_ISL_535797|2020-03-15,hCoV-19/Canada/QC-LSPQ-L00233567/2020|EPI_ISL_536028|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00233567/2020|EPI_ISL_536028|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00238246/2020|EPI_ISL_536206|2020-03-24
1123,hCoV-19/Canada/QC-LSPQ-L00241901/2020|EPI_ISL_536293|2020-03-28
1326,hCoV-19/Canada/QC-LSPQ-L00220289/2020|EPI_ISL_535797|2020-03-15
1286,hCoV-19/Canada/QC-LSPQ-L00221627/2020|EPI_ISL_535810|2020-03-15
1297,hCoV-19/Canada/BC_6004567/2020|EPI_ISL_418836|2020-03-10
1320,hCoV-19/Canada/MB_80/2020|EPI_ISL_482484|2020-03-13
1297,hCoV-19/Canada/Qc-L00241292/2020|EPI_ISL_450316|2020-03-27
1297,hCoV-19/Canada/ON-OICR-SLB2836/2020|EPI_ISL_538360|2020-04-03
1164,hCoV-19/Canada/ON-OICR-SLB2788/2020|EPI_ISL_538322|2020-03-25
1161,hCoV-19/Canada/QC-LSPQ-L00233970/2020|EPI_ISL_536046|2020-03-22
1441,hCoV-19/Canada/BC_6129127/2020|EPI_ISL_418837|2020-03-10
hCoV-19/Canada/BC_7515663/2020|EPI_ISL_418845|2020-03-11,hCoV-19/Canada/BC_6404889/2020|EPI_ISL_418838|2020-03-12
1299,hCoV-19/Canada/ON_QGLO-041/2020|EPI_ISL_459891|2020-03-30
1299,hCoV-19/Canada/QC-LSPQ-L00230755/2020|EPI_ISL_535930|2020-03-21
1000,hCoV-19/Canada/QC_AD6/2020|EPI_ISL_476500|2020-04-06
976,hCoV-19/Canada/QC_AE6/2020|EPI_ISL_463906|2020-04-06
976,hCoV-19/Canada/QC_BA1/2020|EPI_ISL_515238|2020-04-14
hCoV-19/Canada/QC_AT7/2020|EPI_ISL_463942|2020-04-03,hCoV-19/Canada/QC_AR9/2020|EPI_ISL_463934|2020-04-05
hCoV-19/Canada/QC_AT7/2020|EPI_ISL_463942|2020-04-03,hCoV-19/Canada/QC_AR8/2020|EPI_ISL_515227|2020-04-05
hCoV-19/Canada/QC-LSPQ-L00230755/2020|EPI_ISL_535930|2020-03-21,hCoV-19/Canada/QC_AT7/2020|EPI_ISL_463942|2020-04-03
hCoV-19/Canada/QC_AT7/2020|EPI_ISL_463942|2020-04-03,hCoV-19/Canada/QC_AT8/2020|EPI_ISL_463943|2020-04-04
hCoV-19/Canada/QC-LSPQ-L00230755/2020|EPI_ISL_535930|2020-03-21,hCoV-19/Canada/QC_AF7/2020|EPI_ISL_515202|2020-04-04
hCoV-19/Canada/QC_AF7/2020|EPI_ISL_515202|2020-04-04,hCoV-19/Canada/QC_AM6/2020|EPI_ISL_476509|2020-04-18
1332,hCoV-19/Canada/QC-LSPQ-L00233171/2020|EPI_ISL_536011|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00233171/2020|EPI_ISL_536011|2020-03-22,hCoV-19/Canada/Qc-L00240594/2020|EPI_ISL_465680|2020-03-27
1377,hCoV-19/Canada/BC_7515663/2020|EPI_ISL_418845|2020-03-11
hCoV-19/Canada/ON_QGLO-016/2020|EPI_ISL_459873|2020-03-26,hCoV-19/Canada/NB_248/2020|EPI_ISL_481746|2020-04-01
1167,hCoV-19/Canada/QC-LSPQ-L00238793/2020|EPI_ISL_536218|2020-03-26
1200,hCoV-19/Canada/ON_QGLO-016/2020|EPI_ISL_459873|2020-03-26
1200,hCoV-19/Canada/QC-LSPQ-L00233714/2020|EPI_ISL_536036|2020-03-23
1200,hCoV-19/Canada/QC-LSPQ-L00231271/2020|EPI_ISL_535949|2020-03-22
1090,hCoV-19/Canada/Qc-L00240746/2020|EPI_ISL_465683|2020-03-26
1090,hCoV-19/Canada/QC-LSPQ-L00239397/2020|EPI_ISL_536248|2020-03-24
1156,hCoV-19/Canada/QC-LSPQ-L00242918/2020|EPI_ISL_536342|2020-03-30
hCoV-19/Canada/Qc-L00240891/2020|EPI_ISL_465691|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00240197/2020|EPI_ISL_536266|2020-03-26
hCoV-19/Canada/ON_MU-S1/2020|EPI_ISL_463970|2020-03-13,hCoV-19/Canada/Qc-L00240891/2020|EPI_ISL_465691|2020-03-27
hCoV-19/Canada/ON_MU-S1/2020|EPI_ISL_463970|2020-03-13,hCoV-19/Canada/ON-OICR-SLB2818/2020|EPI_ISL_538346|2020-04-02
1283,hCoV-19/Canada/QC-LSPQ-L00241753/2020|EPI_ISL_536289|2020-03-27
1283,hCoV-19/Canada/Qc-L00240750/2020|EPI_ISL_465684|2020-03-26
1377,hCoV-19/Canada/ON_MU-S1/2020|EPI_ISL_463970|2020-03-13
hCoV-19/Canada/ON_MU-S1/2020|EPI_ISL_463970|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00219619/2020|EPI_ISL_535795|2020-03-15
hCoV-19/Canada/QC-LSPQ-L00240536/2020|EPI_ISL_536273|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00233812/2020|EPI_ISL_536040|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00237287/2020|EPI_ISL_536171|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00240536/2020|EPI_ISL_536273|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00240536/2020|EPI_ISL_536273|2020-03-27,hCoV-19/Canada/Qc-L00241074/2020|EPI_ISL_465695|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00219619/2020|EPI_ISL_535795|2020-03-15,hCoV-19/Canada/QC-LSPQ-L00237287/2020|EPI_ISL_536171|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00243417/2020|EPI_ISL_536361|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00242035/2020|EPI_ISL_536306|2020-03-28
1037,hCoV-19/Canada/QC-LSPQ-L00243417/2020|EPI_ISL_536361|2020-03-30
1037,hCoV-19/Canada/Qc-L00240788/2020|EPI_ISL_465685|2020-03-27
1136,hCoV-19/Canada/ON-OICR-SLB2841/2020|EPI_ISL_538362|2020-04-03
hCoV-19/Canada/ON_QGLO-04/2020|EPI_ISL_459868|2020-03-24,hCoV-19/Canada/ON_QGLO-034/2020|EPI_ISL_459885|2020-03-29
hCoV-19/Canada/ON-OICR-SLB2841/2020|EPI_ISL_538362|2020-04-03,hCoV-19/Canada/ON_QGLO-04/2020|EPI_ISL_459868|2020-03-24
1136,hCoV-19/Canada/ON_MU-S82/2020|EPI_ISL_463994|2020-03-19
1023,hCoV-19/Canada/ON-UHTC_0081/2020|EPI_ISL_464064|2020-04-29
hCoV-19/Canada/ON-UHTC_0081/2020|EPI_ISL_464064|2020-04-29,hCoV-19/Canada/ON-UHTC_0086/2020|EPI_ISL_464058|2020-04-15
hCoV-19/Canada/ON-UHTC_0086/2020|EPI_ISL_464058|2020-04-15,hCoV-19/Canada/ON-UHTC_0091/2020|EPI_ISL_464011|2020-04-11
1229,hCoV-19/Canada/QC-LSPQ-L00239396/2020|EPI_ISL_536247|2020-03-26
hCoV-19/Canada/QC-LSPQ-L00239396/2020|EPI_ISL_536247|2020-03-26,hCoV-19/Canada/Qc-L00241115/2020|EPI_ISL_465698|2020-03-27
1229,hCoV-19/Canada/ON_QGLO-02/2020|EPI_ISL_459867|2020-03-22
1107,hCoV-19/Canada/QC-LSPQ-L00234655/2020|EPI_ISL_536067|2020-03-23
1218,hCoV-19/Canada/QC-LSPQ-L00235027/2020|EPI_ISL_536084|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00230020/2020|EPI_ISL_535909|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00225956/2020|EPI_ISL_535840|2020-03-18
968,hCoV-19/Canada/ON-UHTC_0085/2020|EPI_ISL_464029|2020-04-27
hCoV-19/Canada/ON_MU-S1/2020|EPI_ISL_463970|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00230020/2020|EPI_ISL_535909|2020-03-21
1236,hCoV-19/Canada/MB_39/2020|EPI_ISL_429820|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00232949/2020|EPI_ISL_536003|2020-03-22,hCoV-19/Canada/ON_QGLO-029/2020|EPI_ISL_459883|2020-03-28
1236,hCoV-19/Canada/QC-LSPQ-L00232949/2020|EPI_ISL_536003|2020-03-22
1236,hCoV-19/Canada/QC-LSPQ-L00219049/2020|EPI_ISL_535788|2020-03-14
1439,hCoV-19/Canada/QC-LSPQ-L00225667/2020|EPI_ISL_535835|2020-03-17
hCoV-19/Canada/QC-LSPQ-L00237108/2020|EPI_ISL_536162|2020-03-25,hCoV-19/Canada/NB_245/2020|EPI_ISL_481743|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00236973/2020|EPI_ISL_536156|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237108/2020|EPI_ISL_536162|2020-03-25
1171,hCoV-19/Canada/QC-LSPQ-L00236973/2020|EPI_ISL_536156|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00236973/2020|EPI_ISL_536156|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237465/2020|EPI_ISL_536181|2020-03-25
1072,hCoV-19/Canada/ON-OICR-SLB2792/2020|EPI_ISL_538326|2020-03-26
1421,hCoV-19/Canada/QC-LSPQ-L00239298/2020|EPI_ISL_536244|2020-03-26
1345,hCoV-19/Canada/ON-OICR-SLB2813/2020|EPI_ISL_538341|2020-04-01
1018,hCoV-19/Canada/ON-UHTC_0052/2020|EPI_ISL_464056|2020-04-02
1018,hCoV-19/Canada/ON-UHTC_0071/2020|EPI_ISL_463996|2020-04-23
1444,hCoV-19/Canada/ON-OICR-SLB2822/2020|EPI_ISL_538350|2020-04-02
1091,hCoV-19/Canada/NL_100/2020|EPI_ISL_469239|2020-03-22
1091,hCoV-19/Canada/NL_85/2020|EPI_ISL_469227|2020-03-21
1091,hCoV-19/Canada/NL_96/2020|EPI_ISL_469235|2020-03-22
1180,hCoV-19/Canada/NL_87/2020|EPI_ISL_469229|2020-03-20
hCoV-19/Canada/NL_87/2020|EPI_ISL_469229|2020-03-20,hCoV-19/Canada/NL_90/2020|EPI_ISL_469232|2020-03-21
1175,hCoV-19/Canada/NL_84/2020|EPI_ISL_469226|2020-03-22
1163,hCoV-19/Canada/NL_88/2020|EPI_ISL_469230|2020-03-21
1160,hCoV-19/Canada/NL_93/2020|EPI_ISL_469233|2020-03-22
1180,hCoV-19/Canada/NL_86/2020|EPI_ISL_469228|2020-03-22
1155,hCoV-19/Canada/NL_89/2020|EPI_ISL_469231|2020-03-21
1181,hCoV-19/Canada/NL_99/2020|EPI_ISL_469238|2020-03-22
1377,hCoV-19/Canada/NS_40/2020|EPI_ISL_482469|2020-03-05
1030,hCoV-19/Canada/NB_249/2020|EPI_ISL_481747|2020-03-30
1462,hCoV-19/Canada/QC-LSPQ-L00243024/2020|EPI_ISL_536344|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00243024/2020|EPI_ISL_536344|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00236595/2020|EPI_ISL_536141|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00243024/2020|EPI_ISL_536344|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00232813/2020|EPI_ISL_535997|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00243024/2020|EPI_ISL_536344|2020-03-30,hCoV-19/Canada/ON-OICR-SLB2802/2020|EPI_ISL_538333|2020-03-30
hCoV-19/Canada/ON-OICR-SLB2802/2020|EPI_ISL_538333|2020-03-30,hCoV-19/Canada/ON-OICR-SLB2838/2020|EPI_ISL_538361|2020-04-03
hCoV-19/Canada/QC-LSPQ-L00235132/2020|EPI_ISL_536087|2020-03-24,hCoV-19/Canada/NL_98/2020|EPI_ISL_469237|2020-03-22
hCoV-19/Canada/NL_98/2020|EPI_ISL_469237|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00230506/2020|EPI_ISL_535922|2020-03-21
1462,hCoV-19/Canada/QC-LSPQ-L00235132/2020|EPI_ISL_536087|2020-03-24
1428,hCoV-19/Canada/ON-OICR-SLB2789/2020|EPI_ISL_538323|2020-03-25
1428,hCoV-19/Canada/ON_QGLO-035/2020|EPI_ISL_459886|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00230472/2020|EPI_ISL_535919|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00228964/2020|EPI_ISL_535883|2020-03-20
1450,hCoV-19/Canada/QC-LSPQ-L00230472/2020|EPI_ISL_535919|2020-03-21
hCoV-19/Canada/QC-LSPQ-L00218334/2020|EPI_ISL_535776|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00224793/2020|EPI_ISL_535822|2020-03-17
hCoV-19/Canada/NS_40/2020|EPI_ISL_482469|2020-03-05,hCoV-19/Canada/QC-LSPQ-L00218334/2020|EPI_ISL_535776|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00218334/2020|EPI_ISL_535776|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00216909/2020|EPI_ISL_535753|2020-03-13
hCoV-19/Canada/QC-LSPQ-L00218334/2020|EPI_ISL_535776|2020-03-14,hCoV-19/Canada/ON-OICR-SLB2799/2020|EPI_ISL_538331|2020-03-28
1079,hCoV-19/Canada/QC-LSPQ-L00237972/2020|EPI_ISL_536202|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00237972/2020|EPI_ISL_536202|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00239272/2020|EPI_ISL_536242|2020-03-26
1277,hCoV-19/Canada/ON-OICR-SLB2804/2020|EPI_ISL_538335|2020-03-30
1277,hCoV-19/Canada/QC-LSPQ-L00244094/2020|EPI_ISL_536389|2020-03-31
1277,hCoV-19/Canada/QC-LSPQ-L00244326/2020|EPI_ISL_536392|2020-03-31
1277,hCoV-19/Canada/QC_AQ1/2020|EPI_ISL_463927|2020-04-02
hCoV-19/Canada/QC-LSPQ-L00216920/2020|EPI_ISL_535754|2020-03-13,hCoV-19/Canada/ON_MU-S5/2020|EPI_ISL_463988|2020-03-13
hCoV-19/Canada/ON_MU-S5/2020|EPI_ISL_463988|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00214517/2020|EPI_ISL_535728|2020-03-11
1377,hCoV-19/Canada/QC-LSPQ-L00216920/2020|EPI_ISL_535754|2020-03-13
hCoV-19/Canada/QC-LSPQ-L00237109/2020|EPI_ISL_536163|2020-03-25,hCoV-19/Canada/LTRI-23/2020|EPI_ISL_495012|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00231296/2020|EPI_ISL_535952|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00237109/2020|EPI_ISL_536163|2020-03-25
1044,hCoV-19/Canada/QC_AR2/2020|EPI_ISL_476512|2020-04-03
1197,hCoV-19/Canada/QC-LSPQ-L00231296/2020|EPI_ISL_535952|2020-03-22
1197,hCoV-19/Canada/QC-LSPQ-L00242235/2020|EPI_ISL_536313|2020-03-29
hCoV-19/Canada/QC-LSPQ-L00242235/2020|EPI_ISL_536313|2020-03-29,hCoV-19/Canada/QC-LSPQ-L00242238/2020|EPI_ISL_536314|2020-03-29
1197,hCoV-19/Canada/QC-LSPQ-L00242662/2020|EPI_ISL_536331|2020-03-29
hCoV-19/Canada/QC-LSPQ-L00236598/2020|EPI_ISL_536142|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00218350/2020|EPI_ISL_535778|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00218350/2020|EPI_ISL_535778|2020-03-14,hCoV-19/Canada/MB_36/2020|EPI_ISL_429817|2020-03-14
hCoV-19/Canada/QC_AN6/2020|EPI_ISL_515220|2020-04-08,hCoV-19/Canada/NB_260/2020|EPI_ISL_481751|2020-04-05
1033,hCoV-19/Canada/QC_AN6/2020|EPI_ISL_515220|2020-04-08
1033,hCoV-19/Canada/QC-LSPQ-L00242867/2020|EPI_ISL_536337|2020-03-27
1267,hCoV-19/Canada/QC-LSPQ-L00234627/2020|EPI_ISL_536064|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00236598/2020|EPI_ISL_536142|2020-03-25,hCoV-19/Canada/ON-OICR-SLB2868/2020|EPI_ISL_538385|2020-04-10
1346,hCoV-19/Canada/ON-UHTC_0043/2020|EPI_ISL_464020|2020-04-02
1159,hCoV-19/Canada/QC-LSPQ-L00230448/2020|EPI_ISL_535918|2020-03-21
hCoV-19/Canada/QC-LSPQ-L00230448/2020|EPI_ISL_535918|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00243284/2020|EPI_ISL_536353|2020-03-29
1476,hCoV-19/Canada/QC-LSPQ-L00236598/2020|EPI_ISL_536142|2020-03-25
1388,hCoV-19/Canada/QC-LSPQ-L00225662/2020|EPI_ISL_535834|2020-03-17
1419,hCoV-19/Canada/NS_13/2020|EPI_ISL_418814|2020-03-13
hCoV-19/Canada/NS_13/2020|EPI_ISL_418814|2020-03-13,hCoV-19/Canada/NS_31/2020|EPI_ISL_429813|2020-03-15
1430,hCoV-19/Canada/NS_61/2020|EPI_ISL_482477|2020-03-18
1341,hCoV-19/Canada/QC-LSPQ-L00215586/2020|EPI_ISL_535732|2020-03-12
hCoV-19/Canada/QC-LSPQ-L00215586/2020|EPI_ISL_535732|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00219066/2020|EPI_ISL_535789|2020-03-14
1007,hCoV-19/Canada/ON-OICR-SLB2855/2020|EPI_ISL_538374|2020-04-07
993,hCoV-19/Canada/ON-UHTC_0039/2020|EPI_ISL_464026|2020-04-10
971,hCoV-19/Canada/ON-UHTC_0054/2020|EPI_ISL_464050|2020-04-10
hCoV-19/Canada/ON-UHTC_0039/2020|EPI_ISL_464026|2020-04-10,hCoV-19/Canada/ON-UHTC_0080/2020|EPI_ISL_464040|2020-04-10
