Id,Label,Region
hCoV-19/Canada/ON_QGLO-025/2020|EPI_ISL_459881|2020-03-28,hCoV-19/Canada/ON_QGLO-025/2020|EPI_ISL_459881|2020-03-28,ON
1369,1369,Unsampled
hCoV-19/Canada/QC-LSPQ-L00237135/2020|EPI_ISL_536166|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237135/2020|EPI_ISL_536166|2020-03-25,QC
hCoV-19/Canada/ON-OICR-SLB2791/2020|EPI_ISL_538325|2020-03-25,hCoV-19/Canada/ON-OICR-SLB2791/2020|EPI_ISL_538325|2020-03-25,ON
1085,1085,Unsampled
hCoV-19/Canada/QC-LSPQ-L00237078/2020|EPI_ISL_536158|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237078/2020|EPI_ISL_536158|2020-03-25,QC
hCoV-19/Canada/QC-LSPQ-L00237091/2020|EPI_ISL_536160|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237091/2020|EPI_ISL_536160|2020-03-25,QC
hCoV-19/Canada/QC-LSPQ-L00233398/2020|EPI_ISL_536022|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00233398/2020|EPI_ISL_536022|2020-03-23,QC
1211,1211,Unsampled
hCoV-19/Canada/QC-LSPQ-L00238226/2020|EPI_ISL_536205|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00238226/2020|EPI_ISL_536205|2020-03-24,QC
hCoV-19/Canada/QC-LSPQ-L00215817/2020|EPI_ISL_535739|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00215817/2020|EPI_ISL_535739|2020-03-12,QC
hCoV-19/Canada/Qc-L00241355/2020|EPI_ISL_450318|2020-03-27,hCoV-19/Canada/Qc-L00241355/2020|EPI_ISL_450318|2020-03-27,QC
hCoV-19/Canada/ON_MU-S63/2020|EPI_ISL_463991|2020-03-19,hCoV-19/Canada/ON_MU-S63/2020|EPI_ISL_463991|2020-03-19,ON
hCoV-19/Canada/LTRI-25/2020|EPI_ISL_495013|2020-03-26,hCoV-19/Canada/LTRI-25/2020|EPI_ISL_495013|2020-03-26,LTRI
1003,1003,Unsampled
hCoV-19/Canada/ON-UHTC_0075/2020|EPI_ISL_463999|2020-04-11,hCoV-19/Canada/ON-UHTC_0075/2020|EPI_ISL_463999|2020-04-11,ON
hCoV-19/Canada/ON-UHTC_0104/2020|EPI_ISL_526259|2020-05-11,hCoV-19/Canada/ON-UHTC_0104/2020|EPI_ISL_526259|2020-05-11,ON
hCoV-19/Canada/ON_QGLO-037/2020|EPI_ISL_459888|2020-03-30,hCoV-19/Canada/ON_QGLO-037/2020|EPI_ISL_459888|2020-03-30,ON
1140,1140,Unsampled
hCoV-19/Canada/ON-OICR-SLB2811/2020|EPI_ISL_538339|2020-03-31,hCoV-19/Canada/ON-OICR-SLB2811/2020|EPI_ISL_538339|2020-03-31,ON
1157,1157,Unsampled
hCoV-19/Canada/ON-OICR-SLB2851/2020|EPI_ISL_538370|2020-04-05,hCoV-19/Canada/ON-OICR-SLB2851/2020|EPI_ISL_538370|2020-04-05,ON
1235,1235,Unsampled
hCoV-19/Canada/ON-OICR-SLB2863/2020|EPI_ISL_538380|2020-04-08,hCoV-19/Canada/ON-OICR-SLB2863/2020|EPI_ISL_538380|2020-04-08,ON
1397,1397,Unsampled
hCoV-19/Canada/ON-OICR-SLB2842/2020|EPI_ISL_538363|2020-04-04,hCoV-19/Canada/ON-OICR-SLB2842/2020|EPI_ISL_538363|2020-04-04,ON
972,972,Unsampled
hCoV-19/Canada/ON-OICR-SLB2857/2020|EPI_ISL_538376|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2857/2020|EPI_ISL_538376|2020-04-07,ON
1076,1076,Unsampled
hCoV-19/Canada/QC_AV5/2020|EPI_ISL_515231|2020-04-02,hCoV-19/Canada/QC_AV5/2020|EPI_ISL_515231|2020-04-02,QC
hCoV-19/Canada/Qc-L00240857/2020|EPI_ISL_450306|2020-03-27,hCoV-19/Canada/Qc-L00240857/2020|EPI_ISL_450306|2020-03-27,QC
hCoV-19/Canada/QC-LSPQ-L00238819/2020|EPI_ISL_536223|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00238819/2020|EPI_ISL_536223|2020-03-26,QC
1187,1187,Unsampled
hCoV-19/Canada/ON-OICR-SLB2829/2020|EPI_ISL_538355|2020-04-03,hCoV-19/Canada/ON-OICR-SLB2829/2020|EPI_ISL_538355|2020-04-03,ON
982,982,Unsampled
hCoV-19/Canada/ON-OICR-SLB2849/2020|EPI_ISL_538369|2020-04-05,hCoV-19/Canada/ON-OICR-SLB2849/2020|EPI_ISL_538369|2020-04-05,ON
986,986,Unsampled
hCoV-19/Canada/ON-OICR-SLB2860/2020|EPI_ISL_538379|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2860/2020|EPI_ISL_538379|2020-04-07,ON
1056,1056,Unsampled
hCoV-19/Canada/ON_QGLO-038/2020|EPI_ISL_459889|2020-03-30,hCoV-19/Canada/ON_QGLO-038/2020|EPI_ISL_459889|2020-03-30,ON
hCoV-19/Canada/ON-OICR-SLB2835/2020|EPI_ISL_538359|2020-04-03,hCoV-19/Canada/ON-OICR-SLB2835/2020|EPI_ISL_538359|2020-04-03,ON
hCoV-19/Canada/ON-OICR-SLB2814/2020|EPI_ISL_538342|2020-04-01,hCoV-19/Canada/ON-OICR-SLB2814/2020|EPI_ISL_538342|2020-04-01,ON
hCoV-19/Canada/ON-OICR-SLB2848/2020|EPI_ISL_538368|2020-04-04,hCoV-19/Canada/ON-OICR-SLB2848/2020|EPI_ISL_538368|2020-04-04,ON
hCoV-19/Canada/ON-OICR-SLB2853/2020|EPI_ISL_538372|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2853/2020|EPI_ISL_538372|2020-04-07,ON
981,981,Unsampled
hCoV-19/Canada/ON-OICR-SLB2859/2020|EPI_ISL_538378|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2859/2020|EPI_ISL_538378|2020-04-07,ON
hCoV-19/Canada/ON-OICR-SLB2815/2020|EPI_ISL_538343|2020-04-01,hCoV-19/Canada/ON-OICR-SLB2815/2020|EPI_ISL_538343|2020-04-01,ON
hCoV-19/Canada/ON-OICR-SLB2864/2020|EPI_ISL_538381|2020-04-09,hCoV-19/Canada/ON-OICR-SLB2864/2020|EPI_ISL_538381|2020-04-09,ON
1138,1138,Unsampled
hCoV-19/Canada/ON_QGLO-042/2020|EPI_ISL_459892|2020-03-30,hCoV-19/Canada/ON_QGLO-042/2020|EPI_ISL_459892|2020-03-30,ON
hCoV-19/Canada/ON-OICR-SLB2830/2020|EPI_ISL_538356|2020-04-03,hCoV-19/Canada/ON-OICR-SLB2830/2020|EPI_ISL_538356|2020-04-03,ON
1086,1086,Unsampled
hCoV-19/Canada/ON-OICR-SLB2847/2020|EPI_ISL_538367|2020-04-04,hCoV-19/Canada/ON-OICR-SLB2847/2020|EPI_ISL_538367|2020-04-04,ON
hCoV-19/Canada/ON-OICR-SLB2843/2020|EPI_ISL_538364|2020-04-04,hCoV-19/Canada/ON-OICR-SLB2843/2020|EPI_ISL_538364|2020-04-04,ON
1011,1011,Unsampled
1252,1252,Unsampled
hCoV-19/Canada/QC-LSPQ-L00236258/2020|EPI_ISL_536122|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00236258/2020|EPI_ISL_536122|2020-03-24,QC
1119,1119,Unsampled
hCoV-19/Canada/QC-LSPQ-L00238978/2020|EPI_ISL_536229|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00238978/2020|EPI_ISL_536229|2020-03-26,QC
1025,1025,Unsampled
hCoV-19/Canada/QC-LSPQ-L00243257/2020|EPI_ISL_536352|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243257/2020|EPI_ISL_536352|2020-03-30,QC
1349,1349,Unsampled
hCoV-19/Canada/QC-LSPQ-L00221605/2020|EPI_ISL_535809|2020-03-16,hCoV-19/Canada/QC-LSPQ-L00221605/2020|EPI_ISL_535809|2020-03-16,QC
hCoV-19/Canada/QC-LSPQ-L00227147/2020|EPI_ISL_535858|2020-03-18,hCoV-19/Canada/QC-LSPQ-L00227147/2020|EPI_ISL_535858|2020-03-18,QC
hCoV-19/Canada/QC-LSPQ-L00239209/2020|EPI_ISL_536238|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00239209/2020|EPI_ISL_536238|2020-03-21,QC
hCoV-19/Canada/QC-LSPQ-L00239235/2020|EPI_ISL_536239|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00239235/2020|EPI_ISL_536239|2020-03-21,QC
hCoV-19/Canada/QC-LSPQ-L00230444/2020|EPI_ISL_535917|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230444/2020|EPI_ISL_535917|2020-03-21,QC
hCoV-19/Canada/QC-LSPQ-L00227528/2020|EPI_ISL_535864|2020-03-19,hCoV-19/Canada/QC-LSPQ-L00227528/2020|EPI_ISL_535864|2020-03-19,QC
1380,1380,Unsampled
1372,1372,Unsampled
hCoV-19/Canada/BC_5275718/2020|EPI_ISL_418831|2020-03-11,hCoV-19/Canada/BC_5275718/2020|EPI_ISL_418831|2020-03-11,BC
hCoV-19/Canada/BC_5979789/2020|EPI_ISL_418835|2020-03-11,hCoV-19/Canada/BC_5979789/2020|EPI_ISL_418835|2020-03-11,BC
1364,1364,Unsampled
hCoV-19/Canada/QC-LSPQ-L00215879/2020|EPI_ISL_535741|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00215879/2020|EPI_ISL_535741|2020-03-12,QC
1251,1251,Unsampled
hCoV-19/Canada/NL_82/2020|EPI_ISL_469224|2020-03-22,hCoV-19/Canada/NL_82/2020|EPI_ISL_469224|2020-03-22,NL
hCoV-19/Canada/NL_83/2020|EPI_ISL_469225|2020-03-21,hCoV-19/Canada/NL_83/2020|EPI_ISL_469225|2020-03-21,NL
hCoV-19/Canada/QC-LSPQ-L00231139/2020|EPI_ISL_535944|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00231139/2020|EPI_ISL_535944|2020-03-22,QC
hCoV-19/Canada/QC-LSPQ-L00228862/2020|EPI_ISL_535879|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00228862/2020|EPI_ISL_535879|2020-03-20,QC
1265,1265,Unsampled
hCoV-19/Canada/QC-LSPQ-L00217411/2020|EPI_ISL_535761|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00217411/2020|EPI_ISL_535761|2020-03-13,QC
1326,1326,Unsampled
hCoV-19/Canada/BC_5306970/2020|EPI_ISL_418833|2020-03-11,hCoV-19/Canada/BC_5306970/2020|EPI_ISL_418833|2020-03-11,BC
hCoV-19/Canada/NB-217/2020|EPI_ISL_479633|2020-03-30,hCoV-19/Canada/NB-217/2020|EPI_ISL_479633|2020-03-30,NB
hCoV-19/Canada/NB-213/2020|EPI_ISL_479629|2020-03-30,hCoV-19/Canada/NB-213/2020|EPI_ISL_479629|2020-03-30,NB
hCoV-19/Canada/NB_252/2020|EPI_ISL_481749|2020-04-01,hCoV-19/Canada/NB_252/2020|EPI_ISL_481749|2020-04-01,NB
hCoV-19/Canada/NB_250/2020|EPI_ISL_481748|2020-04-02,hCoV-19/Canada/NB_250/2020|EPI_ISL_481748|2020-04-02,NB
1095,1095,Unsampled
hCoV-19/Canada/ON-OICR-SLB2856/2020|EPI_ISL_538375|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2856/2020|EPI_ISL_538375|2020-04-07,ON
hCoV-19/Canada/ON-OICR-SLB2852/2020|EPI_ISL_538371|2020-04-07,hCoV-19/Canada/ON-OICR-SLB2852/2020|EPI_ISL_538371|2020-04-07,ON
hCoV-19/Canada/ON-UHTC_0068/2020|EPI_ISL_464008|2020-04-28,hCoV-19/Canada/ON-UHTC_0068/2020|EPI_ISL_464008|2020-04-28,ON
1075,1075,Unsampled
hCoV-19/Canada/QC-LSPQ-L00234776/2020|EPI_ISL_536069|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00234776/2020|EPI_ISL_536069|2020-03-23,QC
hCoV-19/Canada/QC-LSPQ-L00234851/2020|EPI_ISL_536071|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00234851/2020|EPI_ISL_536071|2020-03-23,QC
hCoV-19/Canada/QC-LSPQ-L00233567/2020|EPI_ISL_536028|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00233567/2020|EPI_ISL_536028|2020-03-23,QC
hCoV-19/Canada/ON_QGLO-018/2020|EPI_ISL_459875|2020-03-27,hCoV-19/Canada/ON_QGLO-018/2020|EPI_ISL_459875|2020-03-27,ON
hCoV-19/Canada/QC-LSPQ-L00220289/2020|EPI_ISL_535797|2020-03-15,hCoV-19/Canada/QC-LSPQ-L00220289/2020|EPI_ISL_535797|2020-03-15,QC
hCoV-19/Canada/QC-LSPQ-L00238246/2020|EPI_ISL_536206|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00238246/2020|EPI_ISL_536206|2020-03-24,QC
1123,1123,Unsampled
hCoV-19/Canada/QC-LSPQ-L00241901/2020|EPI_ISL_536293|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00241901/2020|EPI_ISL_536293|2020-03-28,QC
1286,1286,Unsampled
hCoV-19/Canada/QC-LSPQ-L00221627/2020|EPI_ISL_535810|2020-03-15,hCoV-19/Canada/QC-LSPQ-L00221627/2020|EPI_ISL_535810|2020-03-15,QC
1297,1297,Unsampled
hCoV-19/Canada/BC_6004567/2020|EPI_ISL_418836|2020-03-10,hCoV-19/Canada/BC_6004567/2020|EPI_ISL_418836|2020-03-10,BC
1320,1320,Unsampled
hCoV-19/Canada/MB_80/2020|EPI_ISL_482484|2020-03-13,hCoV-19/Canada/MB_80/2020|EPI_ISL_482484|2020-03-13,MB
hCoV-19/Canada/Qc-L00241292/2020|EPI_ISL_450316|2020-03-27,hCoV-19/Canada/Qc-L00241292/2020|EPI_ISL_450316|2020-03-27,QC
hCoV-19/Canada/ON-OICR-SLB2836/2020|EPI_ISL_538360|2020-04-03,hCoV-19/Canada/ON-OICR-SLB2836/2020|EPI_ISL_538360|2020-04-03,ON
1164,1164,Unsampled
hCoV-19/Canada/ON-OICR-SLB2788/2020|EPI_ISL_538322|2020-03-25,hCoV-19/Canada/ON-OICR-SLB2788/2020|EPI_ISL_538322|2020-03-25,ON
1161,1161,Unsampled
hCoV-19/Canada/QC-LSPQ-L00233970/2020|EPI_ISL_536046|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00233970/2020|EPI_ISL_536046|2020-03-22,QC
1441,1441,Unsampled
hCoV-19/Canada/BC_6129127/2020|EPI_ISL_418837|2020-03-10,hCoV-19/Canada/BC_6129127/2020|EPI_ISL_418837|2020-03-10,BC
hCoV-19/Canada/BC_7515663/2020|EPI_ISL_418845|2020-03-11,hCoV-19/Canada/BC_7515663/2020|EPI_ISL_418845|2020-03-11,BC
hCoV-19/Canada/BC_6404889/2020|EPI_ISL_418838|2020-03-12,hCoV-19/Canada/BC_6404889/2020|EPI_ISL_418838|2020-03-12,BC
1299,1299,Unsampled
hCoV-19/Canada/ON_QGLO-041/2020|EPI_ISL_459891|2020-03-30,hCoV-19/Canada/ON_QGLO-041/2020|EPI_ISL_459891|2020-03-30,ON
hCoV-19/Canada/QC-LSPQ-L00230755/2020|EPI_ISL_535930|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230755/2020|EPI_ISL_535930|2020-03-21,QC
1000,1000,Unsampled
hCoV-19/Canada/QC_AD6/2020|EPI_ISL_476500|2020-04-06,hCoV-19/Canada/QC_AD6/2020|EPI_ISL_476500|2020-04-06,QC
976,976,Unsampled
hCoV-19/Canada/QC_AE6/2020|EPI_ISL_463906|2020-04-06,hCoV-19/Canada/QC_AE6/2020|EPI_ISL_463906|2020-04-06,QC
hCoV-19/Canada/QC_BA1/2020|EPI_ISL_515238|2020-04-14,hCoV-19/Canada/QC_BA1/2020|EPI_ISL_515238|2020-04-14,QC
hCoV-19/Canada/QC_AT7/2020|EPI_ISL_463942|2020-04-03,hCoV-19/Canada/QC_AT7/2020|EPI_ISL_463942|2020-04-03,QC
hCoV-19/Canada/QC_AR9/2020|EPI_ISL_463934|2020-04-05,hCoV-19/Canada/QC_AR9/2020|EPI_ISL_463934|2020-04-05,QC
hCoV-19/Canada/QC_AR8/2020|EPI_ISL_515227|2020-04-05,hCoV-19/Canada/QC_AR8/2020|EPI_ISL_515227|2020-04-05,QC
hCoV-19/Canada/QC_AT8/2020|EPI_ISL_463943|2020-04-04,hCoV-19/Canada/QC_AT8/2020|EPI_ISL_463943|2020-04-04,QC
hCoV-19/Canada/QC_AF7/2020|EPI_ISL_515202|2020-04-04,hCoV-19/Canada/QC_AF7/2020|EPI_ISL_515202|2020-04-04,QC
hCoV-19/Canada/QC_AM6/2020|EPI_ISL_476509|2020-04-18,hCoV-19/Canada/QC_AM6/2020|EPI_ISL_476509|2020-04-18,QC
1332,1332,Unsampled
hCoV-19/Canada/QC-LSPQ-L00233171/2020|EPI_ISL_536011|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00233171/2020|EPI_ISL_536011|2020-03-22,QC
hCoV-19/Canada/Qc-L00240594/2020|EPI_ISL_465680|2020-03-27,hCoV-19/Canada/Qc-L00240594/2020|EPI_ISL_465680|2020-03-27,QC
1377,1377,Unsampled
hCoV-19/Canada/ON_QGLO-016/2020|EPI_ISL_459873|2020-03-26,hCoV-19/Canada/ON_QGLO-016/2020|EPI_ISL_459873|2020-03-26,ON
hCoV-19/Canada/NB_248/2020|EPI_ISL_481746|2020-04-01,hCoV-19/Canada/NB_248/2020|EPI_ISL_481746|2020-04-01,NB
1167,1167,Unsampled
hCoV-19/Canada/QC-LSPQ-L00238793/2020|EPI_ISL_536218|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00238793/2020|EPI_ISL_536218|2020-03-26,QC
1200,1200,Unsampled
hCoV-19/Canada/QC-LSPQ-L00233714/2020|EPI_ISL_536036|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00233714/2020|EPI_ISL_536036|2020-03-23,QC
hCoV-19/Canada/QC-LSPQ-L00231271/2020|EPI_ISL_535949|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00231271/2020|EPI_ISL_535949|2020-03-22,QC
1090,1090,Unsampled
hCoV-19/Canada/Qc-L00240746/2020|EPI_ISL_465683|2020-03-26,hCoV-19/Canada/Qc-L00240746/2020|EPI_ISL_465683|2020-03-26,QC
hCoV-19/Canada/QC-LSPQ-L00239397/2020|EPI_ISL_536248|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00239397/2020|EPI_ISL_536248|2020-03-24,QC
1156,1156,Unsampled
hCoV-19/Canada/QC-LSPQ-L00242918/2020|EPI_ISL_536342|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00242918/2020|EPI_ISL_536342|2020-03-30,QC
hCoV-19/Canada/Qc-L00240891/2020|EPI_ISL_465691|2020-03-27,hCoV-19/Canada/Qc-L00240891/2020|EPI_ISL_465691|2020-03-27,QC
hCoV-19/Canada/QC-LSPQ-L00240197/2020|EPI_ISL_536266|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00240197/2020|EPI_ISL_536266|2020-03-26,QC
hCoV-19/Canada/ON_MU-S1/2020|EPI_ISL_463970|2020-03-13,hCoV-19/Canada/ON_MU-S1/2020|EPI_ISL_463970|2020-03-13,ON
hCoV-19/Canada/ON-OICR-SLB2818/2020|EPI_ISL_538346|2020-04-02,hCoV-19/Canada/ON-OICR-SLB2818/2020|EPI_ISL_538346|2020-04-02,ON
1283,1283,Unsampled
hCoV-19/Canada/QC-LSPQ-L00241753/2020|EPI_ISL_536289|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00241753/2020|EPI_ISL_536289|2020-03-27,QC
hCoV-19/Canada/Qc-L00240750/2020|EPI_ISL_465684|2020-03-26,hCoV-19/Canada/Qc-L00240750/2020|EPI_ISL_465684|2020-03-26,QC
hCoV-19/Canada/QC-LSPQ-L00219619/2020|EPI_ISL_535795|2020-03-15,hCoV-19/Canada/QC-LSPQ-L00219619/2020|EPI_ISL_535795|2020-03-15,QC
hCoV-19/Canada/QC-LSPQ-L00240536/2020|EPI_ISL_536273|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00240536/2020|EPI_ISL_536273|2020-03-27,QC
hCoV-19/Canada/QC-LSPQ-L00233812/2020|EPI_ISL_536040|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00233812/2020|EPI_ISL_536040|2020-03-23,QC
hCoV-19/Canada/QC-LSPQ-L00237287/2020|EPI_ISL_536171|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237287/2020|EPI_ISL_536171|2020-03-25,QC
hCoV-19/Canada/Qc-L00241074/2020|EPI_ISL_465695|2020-03-27,hCoV-19/Canada/Qc-L00241074/2020|EPI_ISL_465695|2020-03-27,QC
hCoV-19/Canada/QC-LSPQ-L00243417/2020|EPI_ISL_536361|2020-03-30,hCoV-19/Canada/QC-LSPQ-L00243417/2020|EPI_ISL_536361|2020-03-30,QC
hCoV-19/Canada/QC-LSPQ-L00242035/2020|EPI_ISL_536306|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00242035/2020|EPI_ISL_536306|2020-03-28,QC
1037,1037,Unsampled
hCoV-19/Canada/Qc-L00240788/2020|EPI_ISL_465685|2020-03-27,hCoV-19/Canada/Qc-L00240788/2020|EPI_ISL_465685|2020-03-27,QC
1136,1136,Unsampled
hCoV-19/Canada/ON-OICR-SLB2841/2020|EPI_ISL_538362|2020-04-03,hCoV-19/Canada/ON-OICR-SLB2841/2020|EPI_ISL_538362|2020-04-03,ON
hCoV-19/Canada/ON_QGLO-04/2020|EPI_ISL_459868|2020-03-24,hCoV-19/Canada/ON_QGLO-04/2020|EPI_ISL_459868|2020-03-24,ON
hCoV-19/Canada/ON_QGLO-034/2020|EPI_ISL_459885|2020-03-29,hCoV-19/Canada/ON_QGLO-034/2020|EPI_ISL_459885|2020-03-29,ON
hCoV-19/Canada/ON_MU-S82/2020|EPI_ISL_463994|2020-03-19,hCoV-19/Canada/ON_MU-S82/2020|EPI_ISL_463994|2020-03-19,ON
1023,1023,Unsampled
hCoV-19/Canada/ON-UHTC_0081/2020|EPI_ISL_464064|2020-04-29,hCoV-19/Canada/ON-UHTC_0081/2020|EPI_ISL_464064|2020-04-29,ON
hCoV-19/Canada/ON-UHTC_0086/2020|EPI_ISL_464058|2020-04-15,hCoV-19/Canada/ON-UHTC_0086/2020|EPI_ISL_464058|2020-04-15,ON
hCoV-19/Canada/ON-UHTC_0091/2020|EPI_ISL_464011|2020-04-11,hCoV-19/Canada/ON-UHTC_0091/2020|EPI_ISL_464011|2020-04-11,ON
1229,1229,Unsampled
hCoV-19/Canada/QC-LSPQ-L00239396/2020|EPI_ISL_536247|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00239396/2020|EPI_ISL_536247|2020-03-26,QC
hCoV-19/Canada/Qc-L00241115/2020|EPI_ISL_465698|2020-03-27,hCoV-19/Canada/Qc-L00241115/2020|EPI_ISL_465698|2020-03-27,QC
hCoV-19/Canada/ON_QGLO-02/2020|EPI_ISL_459867|2020-03-22,hCoV-19/Canada/ON_QGLO-02/2020|EPI_ISL_459867|2020-03-22,ON
1107,1107,Unsampled
hCoV-19/Canada/QC-LSPQ-L00234655/2020|EPI_ISL_536067|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00234655/2020|EPI_ISL_536067|2020-03-23,QC
1218,1218,Unsampled
hCoV-19/Canada/QC-LSPQ-L00235027/2020|EPI_ISL_536084|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00235027/2020|EPI_ISL_536084|2020-03-24,QC
hCoV-19/Canada/QC-LSPQ-L00230020/2020|EPI_ISL_535909|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230020/2020|EPI_ISL_535909|2020-03-21,QC
hCoV-19/Canada/QC-LSPQ-L00225956/2020|EPI_ISL_535840|2020-03-18,hCoV-19/Canada/QC-LSPQ-L00225956/2020|EPI_ISL_535840|2020-03-18,QC
968,968,Unsampled
hCoV-19/Canada/ON-UHTC_0085/2020|EPI_ISL_464029|2020-04-27,hCoV-19/Canada/ON-UHTC_0085/2020|EPI_ISL_464029|2020-04-27,ON
1236,1236,Unsampled
hCoV-19/Canada/MB_39/2020|EPI_ISL_429820|2020-03-14,hCoV-19/Canada/MB_39/2020|EPI_ISL_429820|2020-03-14,MB
hCoV-19/Canada/QC-LSPQ-L00232949/2020|EPI_ISL_536003|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00232949/2020|EPI_ISL_536003|2020-03-22,QC
hCoV-19/Canada/ON_QGLO-029/2020|EPI_ISL_459883|2020-03-28,hCoV-19/Canada/ON_QGLO-029/2020|EPI_ISL_459883|2020-03-28,ON
hCoV-19/Canada/QC-LSPQ-L00219049/2020|EPI_ISL_535788|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00219049/2020|EPI_ISL_535788|2020-03-14,QC
1439,1439,Unsampled
hCoV-19/Canada/QC-LSPQ-L00225667/2020|EPI_ISL_535835|2020-03-17,hCoV-19/Canada/QC-LSPQ-L00225667/2020|EPI_ISL_535835|2020-03-17,QC
hCoV-19/Canada/QC-LSPQ-L00237108/2020|EPI_ISL_536162|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00237108/2020|EPI_ISL_536162|2020-03-25,QC
hCoV-19/Canada/NB_245/2020|EPI_ISL_481743|2020-03-24,hCoV-19/Canada/NB_245/2020|EPI_ISL_481743|2020-03-24,NB
hCoV-19/Canada/QC-LSPQ-L00236973/2020|EPI_ISL_536156|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00236973/2020|EPI_ISL_536156|2020-03-25,QC
